2025-02-03 2:28:07 PM app start
2025-02-03 2:57:07 PM A02 spd rpm historian calculated
2025-02-03 2:57:07 PM A07 spd rpm historian calculated
2025-02-03 2:57:07 PM A05 spd rpm historian calculated
2025-02-03 2:57:07 PM SC_GLORY1 spd rpm historian calculated
2025-02-03 2:57:07 PM A06 spd rpm historian calculated
2025-02-03 2:57:07 PM SC_RAJA consumtion historian data calculated
2025-02-03 2:57:07 PM SC_GLORY3 spd rpm historian calculated
2025-02-03 2:57:07 PM SC_SULTAN spd rpm historian calculated
2025-02-03 2:57:07 PM A04 spd rpm historian calculated
2025-02-03 2:57:07 PM A03 spd rpm historian calculated
2025-02-03 2:57:07 PM SC_CHOLUEDEE spd rpm historian calculated
2025-02-03 2:57:07 PM A01 spd rpm historian calculated
2025-02-03 2:57:07 PM BB_GOMEN consumtion realtime data calculated
2025-02-03 2:57:07 PM BB_MAKMUR consumtion realtime data calculated
2025-02-03 2:57:07 PM BB_JINDAMANEE consumtion realtime data calculated
2025-02-03 2:57:07 PM BB_GOMEN consumtion historian data calculated
2025-02-03 2:57:07 PM BB_MAKMUR consumtion historian data calculated
2025-02-03 2:57:07 PM BB_JINDAMANEE consumtion historian data calculated
2025-02-03 2:57:07 PM A09 spd rpm realtime calulated
2025-02-03 2:57:07 PM A09 spd rpm historian calculated
2025-02-03 2:58:25 PM app start
2025-02-03 2:59:00 PM app tick
2025-02-03 2:59:00 PM BB_MAKMUR GPS realtime calulated
2025-02-03 2:59:00 PM BB_MAKMUR GPS historian calculated
2025-02-03 2:59:00 PM BB_MAKMUR consumtion realtime data calculated
2025-02-03 2:59:00 PM BB_MAKMUR consumtion historian data calculated
2025-02-03 2:59:28 PM app start
2025-02-03 3:00:00 PM app tick
2025-02-03 3:00:00 PM BB_MAKMUR GPS realtime calulated
2025-02-03 3:00:00 PM BB_MAKMUR GPS historian calculated
2025-02-03 3:00:00 PM BB_MAKMUR consumtion realtime data calculated
2025-02-03 3:00:00 PM BB_MAKMUR consumtion historian data calculated
2025-02-03 3:00:58 PM app start
2025-02-03 3:01:00 PM app tick
2025-02-03 3:01:00 PM BB_MAKMUR GPS realtime calulated
2025-02-03 3:01:00 PM BB_MAKMUR GPS historian calculated
2025-02-03 3:01:00 PM BB_MAKMUR consumtion realtime data calculated
2025-02-03 3:01:00 PM BB_MAKMUR consumtion historian data calculated
2025-02-03 3:01:59 PM app start
2025-02-03 3:02:00 PM app tick
2025-02-03 3:02:00 PM BB_MAKMUR GPS realtime calulated
2025-02-03 3:02:00 PM BB_MAKMUR GPS historian calculated
2025-02-03 3:02:00 PM BB_MAKMUR flowrate realtime data calculated
2025-02-03 3:02:00 PM BB_MAKMUR flowrate historian data calculated
2025-02-03 3:02:00 PM BB_MAKMUR consumtion realtime data calculated
2025-02-03 3:02:00 PM BB_MAKMUR consumtion historian data calculated
2025-02-03 3:09:28 PM app start
2025-02-03 3:10:00 PM app tick
2025-02-03 3:10:00 PM BB_MAKMUR GPS realtime calulated
2025-02-03 3:10:00 PM BB_MAKMUR GPS historian calculated
2025-02-03 3:10:00 PM BB_MAKMUR flowrate realtime data calculated
2025-02-03 3:10:00 PM BB_MAKMUR flowrate historian data calculated
2025-02-03 3:10:00 PM BB_MAKMUR consumtion realtime data calculated
2025-02-03 3:10:00 PM BB_MAKMUR consumtion historian data calculated
2025-02-03 3:10:16 PM app start
2025-02-03 3:11:00 PM app tick
2025-02-03 3:11:00 PM BB_MAKMUR GPS realtime calulated
2025-02-03 3:11:00 PM BB_MAKMUR GPS historian calculated
2025-02-03 3:11:00 PM BB_MAKMUR flowrate realtime data calculated
2025-02-03 3:11:00 PM BB_MAKMUR flowrate historian data calculated
2025-02-03 3:11:00 PM BB_MAKMUR consumtion realtime data calculated
2025-02-03 3:11:00 PM BB_MAKMUR consumtion historian data calculated
2025-02-03 3:11:51 PM app start
2025-02-03 3:12:00 PM app tick
2025-02-03 3:12:00 PM BB_MAKMUR GPS realtime calulated
2025-02-03 3:12:00 PM BB_MAKMUR GPS historian calculated
2025-02-03 3:12:00 PM BB_MAKMUR flowrate realtime data calculated
2025-02-03 3:12:00 PM BB_MAKMUR flowrate historian data calculated
2025-02-03 3:12:00 PM BB_MAKMUR consumtion realtime data calculated
2025-02-03 3:12:00 PM BB_MAKMUR consumtion historian data calculated
2025-02-03 3:13:00 PM app tick
2025-02-03 3:13:00 PM BB_MAKMUR GPS realtime calulated
2025-02-03 3:13:00 PM BB_MAKMUR GPS historian calculated
2025-02-03 3:13:00 PM BB_MAKMUR flowrate realtime data calculated
2025-02-03 3:13:00 PM BB_MAKMUR flowrate historian data calculated
2025-02-03 3:13:00 PM BB_MAKMUR consumtion realtime data calculated
2025-02-03 3:13:00 PM BB_MAKMUR consumtion historian data calculated
2025-02-03 3:13:33 PM app start
2025-02-03 3:14:00 PM app tick
2025-02-03 3:14:00 PM BB_MAKMUR GPS realtime calulated
2025-02-03 3:14:00 PM BB_MAKMUR GPS historian calculated
2025-02-03 3:14:00 PM BB_MAKMUR flowrate realtime data calculated
2025-02-03 3:14:00 PM BB_MAKMUR flowrate historian data calculated
2025-02-03 3:14:00 PM BB_MAKMUR consumtion realtime data calculated
2025-02-03 3:14:00 PM BB_MAKMUR consumtion historian data calculated
2025-02-03 3:15:25 PM app start
2025-02-03 3:16:00 PM app tick
2025-02-03 3:16:00 PM BB_MAKMUR GPS realtime calulated
2025-02-03 3:16:00 PM BB_MAKMUR flowrate realtime data calculated
2025-02-03 3:16:00 PM BB_MAKMUR GPS historian calculated
2025-02-03 3:16:00 PM BB_MAKMUR flowrate historian data calculated
2025-02-03 3:16:00 PM BB_MAKMUR consumtion realtime data calculated
2025-02-03 3:16:00 PM BB_MAKMUR consumtion historian data calculated
2025-02-03 3:16:47 PM app start
2025-02-03 3:17:00 PM app tick
2025-02-03 3:17:00 PM BB_MAKMUR GPS realtime calulated
2025-02-03 3:17:00 PM BB_MAKMUR GPS historian calculated
2025-02-03 3:17:00 PM BB_MAKMUR flowrate realtime data calculated
2025-02-03 3:17:00 PM BB_MAKMUR flowrate historian data calculated
2025-02-03 3:17:00 PM BB_MAKMUR consumtion realtime data calculated
2025-02-03 3:17:00 PM BB_MAKMUR consumtion historian data calculated
2025-02-03 3:17:45 PM app start
2025-02-03 3:18:00 PM app tick
2025-02-03 3:18:00 PM BB_MAKMUR GPS realtime calulated
2025-02-03 3:18:00 PM BB_MAKMUR GPS historian calculated
2025-02-03 3:18:00 PM BB_MAKMUR flowrate realtime data calculated
2025-02-03 3:18:00 PM BB_MAKMUR flowrate historian data calculated
2025-02-03 3:18:00 PM BB_MAKMUR consumtion realtime data calculated
2025-02-03 3:18:00 PM BB_MAKMUR consumtion historian data calculated
2025-02-03 3:18:26 PM app start
2025-02-03 3:19:00 PM app tick
2025-02-03 3:19:01 PM BB_MAKMUR GPS realtime calulated
2025-02-03 3:19:01 PM BB_MAKMUR GPS historian calculated
2025-02-03 3:19:01 PM BB_MAKMUR flowrate realtime data calculated
2025-02-03 3:19:01 PM BB_MAKMUR flowrate historian data calculated
2025-02-03 3:19:01 PM BB_MAKMUR consumtion realtime data calculated
2025-02-03 3:19:02 PM BB_MAKMUR consumtion historian data calculated
2025-02-03 3:20:00 PM app tick
2025-02-03 3:20:00 PM BB_MAKMUR GPS realtime calulated
2025-02-03 3:20:00 PM BB_MAKMUR GPS historian calculated
2025-02-03 3:20:00 PM BB_MAKMUR flowrate realtime data calculated
2025-02-03 3:20:00 PM BB_MAKMUR flowrate historian data calculated
2025-02-03 3:20:00 PM BB_MAKMUR consumtion realtime data calculated
2025-02-03 3:20:00 PM BB_MAKMUR consumtion historian data calculated
2025-02-03 3:20:24 PM app start
2025-02-03 3:21:00 PM app tick
2025-02-03 3:21:00 PM BB_MAKMUR GPS realtime calulated
2025-02-03 3:21:00 PM BB_MAKMUR GPS historian calculated
2025-02-03 3:21:00 PM BB_MAKMUR flowrate realtime data calculated
